round,avg_loss,avg_accuracy
1,0.15247436447976848,95.50818699063171
2,0.0853562718151404,96.90502615366839
3,0.07389791569420777,97.2224702660254
4,0.06778663931366957,97.35123232673274
5,0.06563115581086729,97.40137712506588
1,0.15369756899214382,95.4166659142781
2,0.08447158607805262,96.82375156454958
3,0.0727075665879175,97.12888181366517
4,0.06750145959257642,97.26104902308163
5,0.06608788592378168,97.39194128604582
1,0.15054633207221219,95.40785816952369
2,0.08298042488267565,96.78516083118923
3,0.07306627364724973,97.02271464537972
4,0.0671556354950871,97.24029587690771
5,0.06517598824934923,97.31421162045659
